Sub,Targ,Wealth,PointPool,PointsShared,PropShared,w,G,BadSub
1,1,1,100,29,0.29,0.17126,0,0
1,1,1,80,18,0.225,0.17126,0,0
1,1,1,60,19,0.31667,0.17126,0,0
1,1,1,40,17,0.425,0.17126,0,0
1,1,1,20,12,0.6,0.17126,0,0
1,2,1,100,51,0.51,0.17126,0.55556,0
1,2,1,80,48,0.6,0.17126,0.55556,0
1,2,1,60,31,0.51667,0.17126,0.55556,0
1,2,1,40,25,0.625,0.17126,0.55556,0
1,2,1,20,20,1,0.17126,0.55556,0
1,3,-1,100,15,0.15,0.17126,1,0
1,3,-1,80,18,0.225,0.17126,1,0
1,3,-1,60,17,0.28333,0.17126,1,0
1,3,-1,40,12,0.3,0.17126,1,0
1,3,-1,20,10,0.5,0.17126,1,0
1,4,-1,100,40,0.4,0.17126,0.055556,0
1,4,-1,80,32,0.4,0.17126,0.055556,0
1,4,-1,60,12,0.2,0.17126,0.055556,0
1,4,-1,40,17,0.425,0.17126,0.055556,0
1,4,-1,20,14,0.7,0.17126,0.055556,0
2,1,1,100,50,0.5,0.38046,1,0
2,1,1,80,40,0.5,0.38046,1,0
2,1,1,60,31,0.51667,0.38046,1,0
2,1,1,40,20,0.5,0.38046,1,0
2,1,1,20,10,0.5,0.38046,1,0
2,2,1,100,20,0.2,0.38046,0,0
2,2,1,80,16,0.2,0.38046,0,0
2,2,1,60,11,0.18333,0.38046,0,0
2,2,1,40,8,0.2,0.38046,0,0
2,2,1,20,4,0.2,0.38046,0,0
2,3,-1,100,10,0.1,0.38046,0.25,0
2,3,-1,80,16,0.2,0.38046,0.25,0
2,3,-1,60,12,0.2,0.38046,0.25,0
2,3,-1,40,8,0.2,0.38046,0.25,0
2,3,-1,20,4,0.2,0.38046,0.25,0
2,4,-1,100,10,0.1,0.38046,0,0
2,4,-1,80,16,0.2,0.38046,0,0
2,4,-1,60,11,0.18333,0.38046,0,0
2,4,-1,40,7,0.175,0.38046,0,0
2,4,-1,20,4,0.2,0.38046,0,0
3,1,1,100,0,0,0.3678,0.55556,0
3,1,1,80,0,0,0.3678,0.55556,0
3,1,1,60,0,0,0.3678,0.55556,0
3,1,1,40,0,0,0.3678,0.55556,0
3,1,1,20,0,0,0.3678,0.55556,0
3,2,1,100,0,0,0.3678,0.55556,0
3,2,1,80,0,0,0.3678,0.55556,0
3,2,1,60,0,0,0.3678,0.55556,0
3,2,1,40,0,0,0.3678,0.55556,0
3,2,1,20,0,0,0.3678,0.55556,0
3,3,-1,100,0,0,0.3678,1,0
3,3,-1,80,0,0,0.3678,1,0
3,3,-1,60,0,0,0.3678,1,0
3,3,-1,40,0,0,0.3678,1,0
3,3,-1,20,0,0,0.3678,1,0
3,4,-1,100,0,0,0.3678,0,0
3,4,-1,80,0,0,0.3678,0,0
3,4,-1,60,0,0,0.3678,0,0
3,4,-1,40,0,0,0.3678,0,0
3,4,-1,20,0,0,0.3678,0,0
4,1,1,100,50,0.5,0.84232,0,0
4,1,1,80,40,0.5,0.84232,0,0
4,1,1,60,30,0.5,0.84232,0,0
4,1,1,40,20,0.5,0.84232,0,0
4,1,1,20,10,0.5,0.84232,0,0
4,2,1,100,50,0.5,0.84232,1,0
4,2,1,80,40,0.5,0.84232,1,0
4,2,1,60,30,0.5,0.84232,1,0
4,2,1,40,20,0.5,0.84232,1,0
4,2,1,20,10,0.5,0.84232,1,0
4,3,-1,100,50,0.5,0.84232,1,0
4,3,-1,80,40,0.5,0.84232,1,0
4,3,-1,60,30,0.5,0.84232,1,0
4,3,-1,40,20,0.5,0.84232,1,0
4,3,-1,20,10,0.5,0.84232,1,0
4,4,-1,100,50,0.5,0.84232,1,0
4,4,-1,80,40,0.5,0.84232,1,0
4,4,-1,60,30,0.5,0.84232,1,0
4,4,-1,40,20,0.5,0.84232,1,0
4,4,-1,20,10,0.5,0.84232,1,0
5,1,1,100,50,0.5,0.49534,1,0
5,1,1,80,40,0.5,0.49534,1,0
5,1,1,60,30,0.5,0.49534,1,0
5,1,1,40,20,0.5,0.49534,1,0
5,1,1,20,10,0.5,0.49534,1,0
5,2,1,100,50,0.5,0.49534,1,0
5,2,1,80,40,0.5,0.49534,1,0
5,2,1,60,30,0.5,0.49534,1,0
5,2,1,40,20,0.5,0.49534,1,0
5,2,1,20,10,0.5,0.49534,1,0
5,3,-1,100,40,0.4,0.49534,0.41667,0
5,3,-1,80,25,0.3125,0.49534,0.41667,0
5,3,-1,60,18,0.3,0.49534,0.41667,0
5,3,-1,40,10,0.25,0.49534,0.41667,0
5,3,-1,20,6,0.3,0.49534,0.41667,0
5,4,-1,100,20,0.2,0.49534,0,0
5,4,-1,80,15,0.1875,0.49534,0,0
5,4,-1,60,15,0.25,0.49534,0,0
5,4,-1,40,10,0.25,0.49534,0,0
5,4,-1,20,4,0.2,0.49534,0,0
6,1,1,100,50,0.5,0.524,0.77778,0
6,1,1,80,40,0.5,0.524,0.77778,0
6,1,1,60,30,0.5,0.524,0.77778,0
6,1,1,40,20,0.5,0.524,0.77778,0
6,1,1,20,10,0.5,0.524,0.77778,0
6,2,1,100,10,0.1,0.524,0,0
6,2,1,80,8,0.1,0.524,0,0
6,2,1,60,7,0.11667,0.524,0,0
6,2,1,40,5,0.125,0.524,0,0
6,2,1,20,2,0.1,0.524,0,0
6,3,-1,100,50,0.5,0.524,1,0
6,3,-1,80,40,0.5,0.524,1,0
6,3,-1,60,30,0.5,0.524,1,0
6,3,-1,40,20,0.5,0.524,1,0
6,3,-1,20,10,0.5,0.524,1,0
6,4,-1,100,50,0.5,0.524,1,0
6,4,-1,80,40,0.5,0.524,1,0
6,4,-1,60,30,0.5,0.524,1,0
6,4,-1,40,20,0.5,0.524,1,0
6,4,-1,20,10,0.5,0.524,1,0
7,1,1,100,25,0.25,0.39926,0,0
7,1,1,80,20,0.25,0.39926,0,0
7,1,1,60,15,0.25,0.39926,0,0
7,1,1,40,10,0.25,0.39926,0,0
7,1,1,20,5,0.25,0.39926,0,0
7,2,1,100,50,0.5,0.39926,1,0
7,2,1,80,40,0.5,0.39926,1,0
7,2,1,60,30,0.5,0.39926,1,0
7,2,1,40,20,0.5,0.39926,1,0
7,2,1,20,10,0.5,0.39926,1,0
7,3,-1,100,50,0.5,0.39926,1,0
7,3,-1,80,40,0.5,0.39926,1,0
7,3,-1,60,30,0.5,0.39926,1,0
7,3,-1,40,20,0.5,0.39926,1,0
7,3,-1,20,10,0.5,0.39926,1,0
7,4,-1,100,25,0.25,0.39926,0.61111,0
7,4,-1,80,20,0.25,0.39926,0.61111,0
7,4,-1,60,15,0.25,0.39926,0.61111,0
7,4,-1,40,10,0.25,0.39926,0.61111,0
7,4,-1,20,3,0.15,0.39926,0.61111,0
8,1,1,100,50,0.5,0.21377,1,0
8,1,1,80,43,0.5375,0.21377,1,0
8,1,1,60,30,0.5,0.21377,1,0
8,1,1,40,20,0.5,0.21377,1,0
8,1,1,20,11,0.55,0.21377,1,0
8,2,1,100,29,0.29,0.21377,0,0
