Sub,Targ,Wealth,PointPool,PointsShared,PropShared,w,G,BadSub
1,1,1,100,9,0.09,0.44611,0,0
1,1,1,80,7,0.0875,0.44611,0,0
1,1,1,60,9,0.15,0.44611,0,0
1,1,1,40,4,0.1,0.44611,0,0
1,1,1,20,5,0.25,0.44611,0,0
1,2,1,100,3,0.03,0.44611,0,0
1,2,1,80,7,0.0875,0.44611,0,0
1,2,1,60,3,0.05,0.44611,0,0
1,2,1,40,3,0.075,0.44611,0,0
1,2,1,20,2,0.1,0.44611,0,0
1,3,-1,100,5,0.05,0.44611,0,0
1,3,-1,80,2,0.025,0.44611,0,0
1,3,-1,60,6,0.1,0.44611,0,0
1,3,-1,40,5,0.125,0.44611,0,0
1,3,-1,20,2,0.1,0.44611,0,0
1,4,-1,100,38,0.38,0.44611,1,0
1,4,-1,80,14,0.175,0.44611,1,0
1,4,-1,60,15,0.25,0.44611,1,0
1,4,-1,40,8,0.2,0.44611,1,0
1,4,-1,20,9,0.45,0.44611,1,0
2,1,1,100,30,0.3,0.60444,0.27778,0
2,1,1,80,40,0.5,0.60444,0.27778,0
2,1,1,60,30,0.5,0.60444,0.27778,0
2,1,1,40,12,0.3,0.60444,0.27778,0
2,1,1,20,4,0.2,0.60444,0.27778,0
2,2,1,100,25,0.25,0.60444,0,0
2,2,1,80,21,0.2625,0.60444,0,0
2,2,1,60,15,0.25,0.60444,0,0
2,2,1,40,8,0.2,0.60444,0,0
2,2,1,20,10,0.5,0.60444,0,0
2,3,-1,100,50,0.5,0.60444,1,0
2,3,-1,80,40,0.5,0.60444,1,0
2,3,-1,60,30,0.5,0.60444,1,0
2,3,-1,40,20,0.5,0.60444,1,0
2,3,-1,20,10,0.5,0.60444,1,0
2,4,-1,100,50,0.5,0.60444,0.27778,0
2,4,-1,80,20,0.25,0.60444,0.27778,0
2,4,-1,60,15,0.25,0.60444,0.27778,0
2,4,-1,40,12,0.3,0.60444,0.27778,0
2,4,-1,20,7,0.35,0.60444,0.27778,0
3,1,1,100,24,0.24,0.17643,1,0
3,1,1,80,13,0.1625,0.17643,1,0
3,1,1,60,12,0.2,0.17643,1,0
3,1,1,40,22,0.55,0.17643,1,0
3,1,1,20,6,0.3,0.17643,1,0
3,2,1,100,22,0.22,0.17643,0,0
3,2,1,80,15,0.1875,0.17643,0,0
3,2,1,60,19,0.31667,0.17643,0,0
3,2,1,40,5,0.125,0.17643,0,0
3,2,1,20,5,0.25,0.17643,0,0
3,3,-1,100,24,0.24,0.17643,1,0
3,3,-1,80,21,0.2625,0.17643,1,0
3,3,-1,60,14,0.23333,0.17643,1,0
3,3,-1,40,9,0.225,0.17643,1,0
3,3,-1,20,5,0.25,0.17643,1,0
3,4,-1,100,18,0.18,0.17643,1,0
3,4,-1,80,20,0.25,0.17643,1,0
3,4,-1,60,9,0.15,0.17643,1,0
3,4,-1,40,9,0.225,0.17643,1,0
3,4,-1,20,6,0.3,0.17643,1,0
4,1,1,100,50,0.5,0.93602,0,0
4,1,1,80,40,0.5,0.93602,0,0
4,1,1,60,30,0.5,0.93602,0,0
4,1,1,40,20,0.5,0.93602,0,0
4,1,1,20,10,0.5,0.93602,0,0
4,2,1,100,50,0.5,0.93602,1,0
4,2,1,80,40,0.5,0.93602,1,0
4,2,1,60,30,0.5,0.93602,1,0
4,2,1,40,20,0.5,0.93602,1,0
4,2,1,20,10,0.5,0.93602,1,0
4,3,-1,100,50,0.5,0.93602,0.083333,0
4,3,-1,80,40,0.5,0.93602,0.083333,0
4,3,-1,60,30,0.5,0.93602,0.083333,0
4,3,-1,40,20,0.5,0.93602,0.083333,0
4,3,-1,20,10,0.5,0.93602,0.083333,0
4,4,-1,100,50,0.5,0.93602,0.16667,0
4,4,-1,80,40,0.5,0.93602,0.16667,0
4,4,-1,60,30,0.5,0.93602,0.16667,0
4,4,-1,40,20,0.5,0.93602,0.16667,0
4,4,-1,20,10,0.5,0.93602,0.16667,0
5,1,1,100,0,0,0.18613,0.5,0
5,1,1,80,0,0,0.18613,0.5,0
5,1,1,60,0,0,0.18613,0.5,0
5,1,1,40,0,0,0.18613,0.5,0
5,1,1,20,0,0,0.18613,0.5,0
5,2,1,100,0,0,0.18613,0,0
5,2,1,80,0,0,0.18613,0,0
5,2,1,60,0,0,0.18613,0,0
5,2,1,40,0,0,0.18613,0,0
5,2,1,20,0,0,0.18613,0,0
5,3,-1,100,0,0,0.18613,1,0
5,3,-1,80,0,0,0.18613,1,0
5,3,-1,60,0,0,0.18613,1,0
5,3,-1,40,0,0,0.18613,1,0
5,3,-1,20,0,0,0.18613,1,0
5,4,-1,100,0,0,0.18613,1,0
5,4,-1,80,0,0,0.18613,1,0
5,4,-1,60,0,0,0.18613,1,0
5,4,-1,40,0,0,0.18613,1,0
5,4,-1,20,0,0,0.18613,1,0
6,1,1,100,100,1,0.95488,1,0
6,1,1,80,80,1,0.95488,1,0
6,1,1,60,60,1,0.95488,1,0
6,1,1,40,31,0.775,0.95488,1,0
6,1,1,20,20,1,0.95488,1,0
6,2,1,100,100,1,0.95488,0.19444,0
6,2,1,80,80,1,0.95488,0.19444,0
6,2,1,60,60,1,0.95488,0.19444,0
6,2,1,40,40,1,0.95488,0.19444,0
6,2,1,20,15,0.75,0.95488,0.19444,0
6,3,-1,100,100,1,0.95488,0,0
6,3,-1,80,80,1,0.95488,0,0
6,3,-1,60,60,1,0.95488,0,0
6,3,-1,40,40,1,0.95488,0,0
6,3,-1,20,16,0.8,0.95488,0,0
6,4,-1,100,75,0.75,0.95488,1,0
6,4,-1,80,80,1,0.95488,1,0
6,4,-1,60,48,0.8,0.95488,1,0
6,4,-1,40,30,0.75,0.95488,1,0
6,4,-1,20,17,0.85,0.95488,1,0
7,1,1,100,0,0,0.014875,0,0
7,1,1,80,0,0,0.014875,0,0
7,1,1,60,0,0,0.014875,0,0
7,1,1,40,0,0,0.014875,0,0
7,1,1,20,0,0,0.014875,0,0
7,2,1,100,0,0,0.014875,1,0
7,2,1,80,0,0,0.014875,1,0
7,2,1,60,0,0,0.014875,1,0
7,2,1,40,0,0,0.014875,1,0
7,2,1,20,0,0,0.014875,1,0
7,3,-1,100,0,0,0.014875,0.083333,0
7,3,-1,80,0,0,0.014875,0.083333,0
7,3,-1,60,0,0,0.014875,0.083333,0
7,3,-1,40,0,0,0.014875,0.083333,0
7,3,-1,20,0,0,0.014875,0.083333,0
7,4,-1,100,0,0,0.014875,1,0
7,4,-1,80,0,0,0.014875,1,0
7,4,-1,60,0,0,0.014875,1,0
7,4,-1,40,0,0,0.014875,1,0
7,4,-1,20,0,0,0.014875,1,0
8,1,1,100,20,0.2,0.0044116,0,0
8,1,1,80,16,0.2,0.0044116,0,0
8,1,1,60,12,0.2,0.0044116,0,0
8,1,1,40,8,0.2,0.0044116,0,0
8,1,1,20,6,0.3,0.0044116,0,0
8,2,1,100,50,0.5,0.0044116,0.38889,0
8,2,1,80,16,0.2,0.0044116,0.38889,0
8,2,1,60,30,0.5,0.0044116,0.38889,0
8,2,1,40,20,0.5,0.0044116,0.38889,0
8,2,1,20,10,0.5,0.0044116,0.38889,0
8,3,-1,100,50,0.5,0.0044116,1,0
8,3,-1,80,40,0.5,0.0044116,1,0
8,3,-1,60,30,0.5,0.0044116,1,0
8,3,-1,40,20,0.5,0.0044116,1,0
8,3,-1,20,10,0.5,0.0044116,1,0
8,4,-1,100,50,0.5,0.0044116,1,0
8,4,-1,80,40,0.5,0.0044116,1,0
8,4,-1,60,30,0.5,0.0044116,1,0
8,4,-1,40,20,0.5,0.0044116,1,0
8,4,-1,20,10,0.5,0.0044116,1,0
9,1,1,100,5,0.05,0.16401,1,0
9,1,1,80,5,0.0625,0.16401,1,0
9,1,1,60,5,0.083333,0.16401,1,0
9,1,1,40,5,0.125,0.16401,1,0
9,1,1,20,5,0.25,0.16401,1,0
9,2,1,100,5,0.05,0.16401,0,0
9,2,1,80,5,0.0625,0.16401,0,0
9,2,1,60,5,0.083333,0.16401,0,0
9,2,1,40,5,0.125,0.16401,0,0
9,2,1,20,2,0.1,0.16401,0,0
