Sub,Rating,TargWealth,w,G,Targ
1,5,1,0.18742,1,1
1,2,1,0.18742,0,2
1,1,-1,0.18742,0,3
1,4,-1,0.18742,1,4
2,5,1,0.72644,1,1
2,3,1,0.72644,1,2
2,4,-1,0.72644,1,3
2,1,-1,0.72644,0,4
3,4,1,0.49044,0.77778,1
3,5,1,0.49044,1,2
3,3,-1,0.49044,1,3
3,1,-1,0.49044,0,4
4,5,1,0.082382,0.91667,1
4,3,1,0.082382,0,2
4,1,-1,0.082382,0,3
4,1,-1,0.082382,0,4
5,2,1,0.36312,0.94444,1
5,5,1,0.36312,0.75,2
5,4,-1,0.36312,1,3
5,1,-1,0.36312,0,4
6,3,1,0.8029,1,1
6,4,1,0.8029,1,2
6,2,-1,0.8029,0.91667,3
6,2,-1,0.8029,1,4
7,4,1,0.082011,1,1
7,5,1,0.082011,1,2
7,4,-1,0.082011,0.97222,3
7,1,-1,0.082011,0,4
8,1,1,0.67928,0,1
8,5,1,0.67928,0.94444,2
8,1,-1,0.67928,0,3
8,5,-1,0.67928,1,4
9,5,1,0.37374,1,1
9,2,1,0.37374,0,2
9,4,-1,0.37374,1,3
9,1,-1,0.37374,0,4
10,3,1,0.05745,0,1
10,3,1,0.05745,0,2
10,1,-1,0.05745,0,3
10,5,-1,0.05745,1,4
11,5,1,0.88404,1,1
11,2,1,0.88404,0,2
11,3,-1,0.88404,0.5,3
11,2,-1,0.88404,0,4
12,5,1,0.36435,0.97222,1
12,1,1,0.36435,0,2
12,3,-1,0.36435,0.86111,3
12,2,-1,0.36435,0,4
13,5,1,0.83087,1,1
13,2,1,0.83087,0,2
13,3,-1,0.83087,0.22222,3
13,2,-1,0.83087,0,4
14,1,1,0.5099,0.44444,1
14,1,1,0.5099,0.72222,2
14,5,-1,0.5099,1,3
14,3,-1,0.5099,1,4
15,4,1,0.23196,0.77778,1
15,1,1,0.23196,0.22222,2
15,1,-1,0.23196,1,3
15,1,-1,0.23196,0,4
16,5,1,0.020762,0.97222,1
16,4,1,0.020762,1,2
16,2,-1,0.020762,0,3
16,2,-1,0.020762,0.94444,4
17,4,1,0.0085801,0,1
17,5,1,0.0085801,0.91667,2
17,2,-1,0.0085801,1,3
17,1,-1,0.0085801,0,4
18,3,1,0.75139,0,1
18,5,1,0.75139,1,2
18,3,-1,0.75139,0,3
18,3,-1,0.75139,0,4
19,5,1,0.9919,1,1
19,3,1,0.9919,0.97222,2
19,1,-1,0.9919,0,3
19,5,-1,0.9919,1,4
20,1,1,0.92389,0.11111,1
20,3,1,0.92389,1,2
20,5,-1,0.92389,1,3
20,5,-1,0.92389,1,4
