Sub,Choice,ChoseWealthy,Investment,T1Star,T2Star,T3Star,T4Star
1,2,1,4,1,3,1,5
2,2,1,15,4,5,3,1
3,2,1,2,3,4,2,1
4,4,0,20,3,3,1,5
5,2,1,20,1,4,2,4
6,1,1,20,4,1,1,1
7,2,1,10,4,5,2,2
8,2,1,20,2,5,1,3
9,2,1,20,1,5,3,3
10,2,1,20,1,5,1,2
11,2,1,15,2,5,1,2
12,2,1,10,4,5,2,1
13,2,1,20,2,5,1,2
14,2,1,15,2,5,2,1
15,3,0,10,4,3,4,3
16,1,1,20,5,4,2,1
17,3,0,20,3,2,5,1
18,1,1,20,5,4,2,2
19,1,1,10,5,2,4,1
20,1,1,5,5,5,1,1
21,1,1,10,5,2,4,1
22,3,0,15,4,3,5,3
23,3,0,20,1,1,5,3
24,1,1,10,5,1,3,2
25,1,1,20,5,5,4,1
26,1,1,4,5,3,4,1
27,1,1,20,5,2,3,2
28,1,1,20,5,4,2,1
29,2,1,5,2,4,1,5
30,2,1,15,4,5,4,1
31,4,0,10,5,3,1,5
32,4,0,20,4,4,1,5
33,1,1,10,1,1,1,1
34,2,1,10,3,4,3,2
35,1,1,10,5,1,1,2
36,4,0,15,3,4,2,5
37,3,0,10,1,1,1,1
38,2,1,10,1,5,2,5
39,2,1,5,3,5,4,1
40,2,1,15,1,5,1,4
41,4,0,10,4,4,5,5
42,1,1,20,5,3,1,3
43,3,0,10,1,5,3,2
44,3,0,10,5,5,1,1
45,2,1,20,3,5,1,1
46,3,0,10,3,3,5,1
47,3,0,20,3,2,4,1
48,1,1,6,5,4,2,2
49,2,1,20,5,5,4,2
50,4,0,20,4,2,1,5
51,2,1,11,1,5,4,4
52,1,1,20,5,2,1,4
53,2,1,10,2,5,4,1
54,1,1,10,4,4,2,1
55,2,1,20,5,5,4,2
56,3,0,10,1,1,5,5
57,3,0,6,3,5,3,1
58,2,1,2,2,5,1,5
59,2,1,2,3,5,1,4
60,4,0,5,2,3,1,4
61,4,0,20,1,3,5,5
62,3,0,6,5,3,5,3
63,3,0,15,3,5,2,1
64,2,1,20,3,5,2,1
65,1,1,15,5,5,5,4
66,2,1,19,2,5,1,1
67,4,0,20,3,2,2,5
68,1,1,20,5,2,2,4
69,1,1,10,5,3,1,1
70,3,0,2,2,3,5,1
71,2,1,10,3,4,2,2
72,2,1,20,1,5,4,4
73,4,0,20,3,1,2,5
74,1,1,20,5,2,1,5
75,3,0,20,3,5,5,1
76,1,1,20,5,5,3,1
77,4,0,15,1,5,1,5
78,2,1,15,3,5,1,1
79,2,1,10,3,5,3,3
80,4,0,20,2,3,2,5
81,2,1,5,4,4,3,3
82,1,1,20,5,3,1,2
