SOURCE_DESC	SECTOR_DESC	GROUP_DESC	COMMODITY_DESC	CLASS_DESC	PRODN_PRACTICE_DESC	UTIL_PRACTICE_DESC	STATISTICCAT_DESC	UNIT_DESC	SHORT_DESC	DOMAIN_DESC	DOMAINCAT_DESC	AGG_LEVEL_DESC	STATE_ANSI	STATE_FIPS_CODE	STATE_ALPHA	STATE_NAME	ASD_CODE	ASD_DESC	COUNTY_ANSI	COUNTY_CODE	COUNTY_NAME	REGION_DESC	ZIP_5	WATERSHED_CODE	WATERSHED_DESC	CONGR_DISTRICT_CODE	COUNTRY_CODE	COUNTRY_NAME	LOCATION_DESC	YEAR	FREQ_DESC	BEGIN_CODE	END_CODE	REFERENCE_PERIOD_DESC	WEEK_ENDING	LOAD_TIME	VALUE	CV_%
CENSUS	ECONOMICS	FARMS & LAND & ASSETS	AG LAND	ALL CLASSES	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	AREA	ACRES	AG LAND - ACRES	IRRIGATION STATUS	IRRIGATION STATUS: (ANY ON OPERATION)	STATE	06	06	CA	CALIFORNIA								00000000			9000	UNITED STATES	CALIFORNIA	2007	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	16,231,930	
CENSUS	ECONOMICS	FARMS & LAND & ASSETS	AG LAND	ALL CLASSES	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	AREA	ACRES	AG LAND - ACRES	IRRIGATION STATUS	IRRIGATION STATUS: (ANY ON OPERATION)	STATE	06	06	CA	CALIFORNIA								00000000			9000	UNITED STATES	CALIFORNIA	2012	ANNUAL	00	00	YEAR		2012-12-31 00:00:00	16,039,761	4.0
CENSUS	ECONOMICS	FARMS & LAND & ASSETS	AG LAND	ALL CLASSES	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	AREA	ACRES	AG LAND - ACRES	AREA OPERATED AND IRRIGATION STATUS	AREA OPERATED: (500 TO 999 ACRES) AND IRRIGATION STATUS: (ANY ON OPERATION)	STATE	06	06	CA	CALIFORNIA								00000000			9000	UNITED STATES	CALIFORNIA	2012	ANNUAL	00	00	YEAR		2012-12-31 00:00:00	1,581,585	4.7
CENSUS	ECONOMICS	FARMS & LAND & ASSETS	AG LAND	ALL CLASSES	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	AREA	ACRES	AG LAND - ACRES	AREA OPERATED AND IRRIGATION STATUS	AREA OPERATED: (2,000 TO 4,999 ACRES) AND IRRIGATION STATUS: (ANY ON OPERATION)	STATE	06	06	CA	CALIFORNIA								00000000			9000	UNITED STATES	CALIFORNIA	2012	ANNUAL	00	00	YEAR		2012-12-31 00:00:00	2,801,298	5.0
CENSUS	ECONOMICS	FARMS & LAND & ASSETS	AG LAND	ALL CLASSES	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	AREA	ACRES	AG LAND - ACRES	AREA OPERATED AND IRRIGATION STATUS	AREA OPERATED: (500 TO 999 ACRES) AND IRRIGATION STATUS: (ANY ON OPERATION)	STATE	06	06	CA	CALIFORNIA								00000000			9000	UNITED STATES	CALIFORNIA	2007	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	1,683,415	
CENSUS	ECONOMICS	FARMS & LAND & ASSETS	AG LAND	ALL CLASSES	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	AREA	ACRES	AG LAND - ACRES	AREA OPERATED AND IRRIGATION STATUS	AREA OPERATED: (1,000 TO 1,999 ACRES) AND IRRIGATION STATUS: (ANY ON OPERATION)	STATE	06	06	CA	CALIFORNIA								00000000			9000	UNITED STATES	CALIFORNIA	2007	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	2,149,305	
CENSUS	ECONOMICS	FARMS & LAND & ASSETS	AG LAND	ALL CLASSES	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	AREA	ACRES	AG LAND - ACRES	IRRIGATION STATUS	IRRIGATION STATUS: (NONE ON OPERATION)	STATE	06	06	CA	CALIFORNIA								00000000			9000	UNITED STATES	CALIFORNIA	2007	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	9,132,765	
CENSUS	ECONOMICS	FARMS & LAND & ASSETS	AG LAND	ALL CLASSES	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	AREA	ACRES	AG LAND - ACRES	IRRIGATION STATUS	IRRIGATION STATUS: (NONE ON OPERATION)	STATE	06	06	CA	CALIFORNIA								00000000			9000	UNITED STATES	CALIFORNIA	2012	ANNUAL	00	00	YEAR		2012-12-31 00:00:00	9,529,240	8.8
CENSUS	ECONOMICS	FARMS & LAND & ASSETS	AG LAND	ALL CLASSES	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	AREA	ACRES	AG LAND - ACRES	AREA OPERATED AND IRRIGATION STATUS	AREA OPERATED: (50.0 TO 69.9 ACRES) AND IRRIGATION STATUS: (ANY ON OPERATION)	STATE	06	06	CA	CALIFORNIA								00000000			9000	UNITED STATES	CALIFORNIA	2007	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	147,489	
CENSUS	ECONOMICS	FARMS & LAND & ASSETS	AG LAND	ALL CLASSES	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	AREA	ACRES	AG LAND - ACRES	AREA OPERATED AND IRRIGATION STATUS	AREA OPERATED: (70.0 TO 99.9 ACRES) AND IRRIGATION STATUS: (ANY ON OPERATION)	STATE	06	06	CA	CALIFORNIA								00000000			9000	UNITED STATES	CALIFORNIA	2012	ANNUAL	00	00	YEAR		2012-12-31 00:00:00	208,811	5.2
CENSUS	ECONOMICS	FARMS & LAND & ASSETS	AG LAND	ALL CLASSES	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	AREA	ACRES	AG LAND - ACRES	AREA OPERATED AND IRRIGATION STATUS	AREA OPERATED: (100 TO 139 ACRES) AND IRRIGATION STATUS: (ANY ON OPERATION)	STATE	06	06	CA	CALIFORNIA								00000000			9000	UNITED STATES	CALIFORNIA	2012	ANNUAL	00	00	YEAR		2012-12-31 00:00:00	251,511	5.5
CENSUS	ECONOMICS	FARMS & LAND & ASSETS	AG LAND	ALL CLASSES	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	AREA	ACRES	AG LAND - ACRES	AREA OPERATED AND IRRIGATION STATUS	AREA OPERATED: (140 TO 179 ACRES) AND IRRIGATION STATUS: (ANY ON OPERATION)	STATE	06	06	CA	CALIFORNIA								00000000			9000	UNITED STATES	CALIFORNIA	2012	ANNUAL	00	00	YEAR		2012-12-31 00:00:00	259,457	4.6
