mTurkCode,Consent1,Consent2,Consent3,Consent4,Consent5,ethnicity,education,marital_status,age,gender,income,parent_income,country_born,usa_years,religion,Instruct1,Instruct2,Instruct3,Comprehension1,Comprehension2,Comprehension3,Comprehension4,Comprehension5,cue,vig,assault_lo_solo_1_1,cue,vig,assault_lo_solo_2_1,cue,vig,rev,assault_lo_group0_1_1,cue,vig,rev,assault_lo_group0_2_1,cue,vig,rev,assault_lo_group1_1_1,cue,vig,rev,assault_lo_group1_2_1,cue,vig,rev,assault_lo_group2_1_1,cue,vig,rev,assault_lo_group2_2_1,cue,vig,rev,assault_lo_group3_1_1,cue,vig,rev,assault_lo_group3_2_1,cue,vig,rev,assault_lo_group4_1_1,cue,vig,rev,assault_lo_group4_2_1,cue,vig,assault_hi_solo_1_1,cue,vig,assault_hi_solo_2_1,cue,vig,rev,assault_hi_group0_1_1,cue,vig,rev,assault_hi_group0_2_1,cue,vig,rev,assault_hi_group1_1_1,cue,vig,rev,assault_hi_group1_2_1,cue,vig,rev,assault_hi_group2_1_1,cue,vig,rev,assault_hi_group2_2_1,cue,vig,rev,assault_hi_group3_1_1,cue,vig,rev,assault_hi_group3_2_1,cue,vig,rev,assault_hi_group4_1_1,cue,vig,rev,assault_hi_group4_2_1,cue,vig,theft_lo_solo_1_1,cue,vig,theft_lo_solo_2_1,cue,vig,rev,theft_lo_group0_1_1,cue,vig,rev,theft_lo_group0_2_1,cue,vig,rev,theft_lo_group1_1_1,cue,vig,rev,theft_lo_group1_2_1,cue,vig,rev,theft_lo_group2_1_1,cue,vig,rev,theft_lo_group2_2_1,cue,vig,rev,theft_lo_group3_1_1,cue,vig,rev,theft_lo_group3_2_1,cue,vig,rev,theft_lo_group4_1_1,cue,vig,rev,theft_lo_group4_2_1,cue,vig,theft_hi_solo_1_1,cue,vig,theft_hi_solo_2_1,cue,vig,rev,theft_hi_group0_1_1,cue,vig,rev,theft_hi_group0_2_1,cue,vig,rev,theft_hi_group1_1_1,cue,vig,rev,theft_hi_group1_2_1,cue,vig,rev,theft_hi_group2_1_1,cue,vig,rev,theft_hi_group2_2_1,cue,vig,rev,theft_hi_group3_1_1,cue,vig,rev,theft_hi_group3_2_1,cue,vig,rev,theft_hi_group4_1_1,cue,vig,rev,theft_hi_group4_2_1,catch_1,catch_2,suspicion,debrief,DO-BR-FL_9
6203323,1,1,1,1,1,1,18,1,28,1,5,,USA,28,4,1,1,1,4,2,4,1,1,1,1,7,1,1,64,1,1,1,3,1,1,1,9,1,1,1,12,1,1,1,18,1,1,1,32,1,1,1,12,1,1,1,54,1,1,1,31,1,1,1,9,1,1,1,29,1,1,59,1,1,29,1,1,1,83,1,1,1,33,1,1,1,94,1,1,1,88,1,1,1,66,1,1,1,77,1,1,1,69,1,1,1,89,1,1,1,70,1,1,1,44,1,1,62,1,1,65,1,1,1,71,1,1,1,68,1,1,1,57,1,1,1,46,1,1,1,61,1,1,1,61,1,1,1,55,1,1,1,53,1,1,1,55,1,1,1,53,1,1,88,1,1,59,1,1,1,85,1,1,1,56,1,1,1,89,1,1,1,76,1,1,1,70,1,1,1,71,1,1,1,84,1,1,1,73,1,1,1,80,1,1,1,66,1,"harm done upon another person physically, mentally, or financially",5,1,catch_1|theft_hi_group1_2|assault_lo_group0_2|theft_hi_group1_1|theft_lo_solo_2|theft_hi_group4_1|theft_hi_group0_1|theft_hi_group0_2|assault_hi_solo_1|assault_lo_group3_2|assault_lo_solo_1|theft_lo_group2_1|theft_lo_group1_1|assault_lo_group1_2|assault_lo_group0_1|theft_lo_group4_2|theft_hi_group3_1|assault_hi_group1_2|assault_hi_group0_2|assault_lo_group4_2|assault_hi_solo_2|assault_hi_group4_2|theft_lo_group4_1|theft_hi_group2_1|assault_lo_group4_1|catch_2|assault_lo_group1_1|assault_hi_group3_2|theft_lo_group0_1|theft_lo_solo_1|assault_hi_group1_1|assault_lo_solo_2|theft_lo_group0_2|theft_hi_group3_2|theft_lo_group3_2|assault_lo_group3_1|theft_lo_group2_2|theft_lo_group1_2|theft_hi_solo_2|theft_lo_group3_1|assault_lo_group2_1|assault_hi_group2_1|assault_hi_group3_1|theft_hi_group2_2|assault_hi_group2_2|theft_hi_group4_2|assault_lo_group2_2|assault_hi_group0_1|theft_hi_solo_1|assault_hi_group4_1
5179224,1,1,1,1,1,1,15,5,51,1,1,,USA,51,4,1,1,1,4,2,4,1,1,1,1,25,1,1,61,1,1,1,35,1,1,1,30,1,1,1,32,1,1,1,42,1,1,1,24,1,1,1,27,1,1,1,24,1,1,1,63,1,1,1,26,1,1,1,20,1,1,63,1,1,76,1,1,1,85,1,1,1,71,1,1,1,85,1,1,1,86,1,1,1,45,1,1,1,86,1,1,1,66,1,1,1,92,1,1,1,80,1,1,1,73,1,1,60,1,1,65,1,1,1,63,1,1,1,63,1,1,1,51,1,1,1,62,1,1,1,42,1,1,1,51,1,1,1,51,1,1,1,52,1,1,1,50,1,1,1,56,1,1,76,1,1,71,1,1,1,76,1,1,1,59,1,1,1,75,1,1,1,74,1,1,1,71,1,1,1,75,1,1,1,82,1,1,1,77,1,1,1,77,1,1,1,72,1,Anything that is against any law provided,5,1,theft_lo_group4_1|theft_hi_group2_2|theft_lo_solo_2|assault_hi_group2_1|assault_hi_group2_2|theft_lo_group0_2|theft_lo_group2_1|theft_hi_group0_2|assault_hi_group1_1|assault_lo_group2_2|assault_lo_group0_1|theft_hi_group2_1|theft_hi_group3_1|theft_hi_group1_2|assault_lo_group2_1|assault_lo_group1_2|theft_lo_group1_2|theft_hi_group0_1|theft_hi_solo_1|assault_lo_group1_1|theft_lo_group2_2|assault_hi_group0_1|theft_lo_group4_2|assault_hi_solo_2|theft_hi_group4_2|theft_hi_group3_2|catch_1|assault_lo_group4_1|assault_lo_group3_1|assault_lo_group4_2|theft_hi_solo_2|catch_2|theft_lo_group3_1|assault_hi_group3_1|assault_lo_solo_1|assault_lo_group0_2|theft_lo_group1_1|assault_hi_group4_1|theft_hi_group1_1|assault_lo_group3_2|assault_hi_group1_2|assault_hi_group3_2|theft_hi_group4_1|assault_lo_solo_2|theft_lo_solo_1|theft_lo_group0_1|assault_hi_group4_2|assault_hi_group0_2|theft_lo_group3_2|assault_hi_solo_1
6938065,1,1,1,1,1,1,16,4,30,2,4,,USA,30,10,1,1,1,4,2,4,1,1,1,1,32,1,1,40,1,1,1,27,1,1,1,37,1,1,1,30,1,1,1,42,1,1,1,28,1,1,1,24,1,1,1,33,1,1,1,51,1,1,1,33,1,1,1,17,1,1,86,1,1,76,1,1,1,80,1,1,1,51,1,1,1,82,1,1,1,75,1,1,1,77,1,1,1,84,1,1,1,51,1,1,1,71,1,1,1,73,1,1,1,72,1,1,32,1,1,28,1,1,1,27,1,1,1,25,1,1,1,29,1,1,1,24,1,1,1,30,1,1,1,28,1,1,1,30,1,1,1,29,1,1,1,30,1,1,1,30,1,1,51,1,1,51,1,1,1,65,1,1,1,40,1,1,1,32,1,1,1,45,1,1,1,59,1,1,1,51,1,1,1,41,1,1,1,51,1,1,1,56,1,1,1,45,1,behavior that is against the law,5,1,assault_hi_solo_2|assault_hi_solo_1|theft_hi_group1_1|assault_hi_group2_2|theft_hi_group0_2|catch_1|theft_lo_group1_2|theft_hi_group4_1|assault_hi_group4_1|theft_hi_group0_1|assault_hi_group1_1|assault_lo_group2_2|theft_hi_group2_1|assault_hi_group4_2|assault_hi_group0_1|theft_lo_group3_1|assault_hi_group3_2|theft_lo_group3_2|assault_lo_group3_1|theft_lo_group4_2|assault_hi_group2_1|theft_lo_group0_1|assault_lo_group1_1|theft_hi_group4_2|assault_hi_group1_2|assault_lo_group0_1|assault_lo_solo_2|theft_hi_group3_1|theft_lo_solo_1|theft_lo_solo_2|theft_lo_group2_2|assault_lo_group4_2|theft_hi_group1_2|catch_2|theft_lo_group0_2|assault_hi_group0_2|theft_lo_group1_1|assault_lo_group1_2|assault_lo_group2_1|theft_hi_solo_2|assault_lo_group0_2|theft_hi_group2_2|theft_hi_solo_1|assault_lo_group4_1|theft_hi_group3_2|assault_hi_group3_1|assault_lo_solo_1|theft_lo_group4_1|theft_lo_group2_1|assault_lo_group3_2
4841637,1,1,1,1,1,1,13,4,32,1,1,3,usa,32,11,1,1,1,4,2,4,1,1,1,1,48,1,1,65,1,1,1,39,1,1,1,61,1,1,1,57,1,1,1,57,1,1,1,41,1,1,1,56,1,1,1,57,1,1,1,58,1,1,1,45,1,1,1,42,1,1,81,1,1,68,1,1,1,92,1,1,1,65,1,1,1,74,1,1,1,76,1,1,1,61,1,1,1,73,1,1,1,79,1,1,1,80,1,1,1,71,1,1,1,73,1,1,54,1,1,36,1,1,1,43,1,1,1,42,1,1,1,39,1,1,1,46,1,1,1,40,1,1,1,39,1,1,1,32,1,1,1,38,1,1,1,41,1,1,1,42,1,1,61,1,1,65,1,1,1,62,1,1,1,42,1,1,1,62,1,1,1,59,1,1,1,60,1,1,1,58,1,1,1,72,1,1,1,60,1,1,1,67,1,1,1,63,1,"A crime is when an established law or rule is broken, sometimes there is a victim involved who the crime is committed against.",4,1,assault_lo_solo_2|assault_lo_group0_2|catch_1|assault_lo_group0_1|theft_lo_group1_2|theft_hi_group0_2|assault_hi_group1_2|theft_lo_group4_1|assault_hi_group3_2|theft_hi_group3_1|theft_lo_group4_2|assault_hi_solo_2|theft_lo_group3_2|assault_hi_group2_2|assault_lo_solo_1|theft_lo_group0_1|assault_lo_group4_2|theft_hi_group2_2|assault_lo_group2_1|assault_hi_group2_1|theft_hi_group4_2|assault_hi_group0_1|theft_hi_group4_1|assault_lo_group3_2|assault_hi_group4_2|assault_lo_group3_1|theft_hi_group3_2|theft_lo_group2_1|assault_hi_group3_1|theft_hi_solo_2|assault_hi_solo_1|assault_lo_group1_2|theft_lo_group2_2|catch_2|theft_hi_group1_1|assault_hi_group4_1|assault_hi_group1_1|theft_lo_group3_1|theft_hi_group0_1|theft_hi_solo_1|theft_lo_solo_2|assault_lo_group2_2|theft_lo_solo_1|theft_hi_group2_1|assault_lo_group1_1|assault_hi_group0_2|theft_hi_group1_2|assault_lo_group4_1|theft_lo_group1_1|theft_lo_group0_2
7190614,1,1,1,1,1,1,12,4,35,1,2,,United States,35,5,1,1,1,4,2,4,1,1,1,1,25,1,1,60,1,1,1,25,1,1,1,25,1,1,1,31,1,1,1,15,1,1,1,35,1,1,1,40,1,1,1,26,1,1,1,45,1,1,1,25,1,1,1,10,1,1,97,1,1,85,1,1,1,97,1,1,1,40,1,1,1,95,1,1,1,96,1,1,1,80,1,1,1,95,1,1,1,95,1,1,1,95,1,1,1,85,1,1,1,80,1,1,80,1,1,70,1,1,1,70,1,1,1,75,1,1,1,60,1,1,1,70,1,1,1,70,1,1,1,51,1,1,1,70,1,1,1,65,1,1,1,70,1,1,1,55,1,1,85,1,1,85,1,1,1,90,1,1,1,70,1,1,1,90,1,1,1,80,1,1,1,95,1,1,1,75,1,1,1,95,1,1,1,80,1,1,1,95,1,1,1,95,1,something that one person does that purposely negatively impacts another person,4,1,theft_lo_group2_2|theft_lo_group4_1|theft_lo_group3_1|assault_lo_group0_2|theft_lo_group3_2|theft_hi_group0_2|assault_lo_group0_1|assault_lo_group3_2|assault_hi_group4_2|theft_lo_group2_1|assault_lo_group3_1|theft_lo_group0_1|theft_hi_group3_2|theft_hi_solo_2|theft_lo_solo_2|theft_hi_group0_1|theft_hi_group1_1|theft_lo_group4_2|assault_lo_group2_2|theft_lo_group1_1|theft_hi_group2_2|catch_1|theft_lo_group1_2|assault_hi_group2_2|assault_hi_group0_1|theft_hi_group4_2|theft_hi_group2_1|assault_hi_group1_2|assault_hi_group1_1|assault_lo_group2_1|assault_lo_group4_2|assault_hi_group0_2|assault_hi_solo_2|theft_hi_solo_1|assault_lo_group1_2|assault_hi_solo_1|theft_lo_group0_2|assault_hi_group4_1|assault_lo_group4_1|assault_lo_group1_1|theft_hi_group1_2|theft_lo_solo_1|theft_hi_group4_1|assault_lo_solo_1|catch_2|assault_lo_solo_2|assault_hi_group2_1|assault_hi_group3_1|assault_hi_group3_2|theft_hi_group3_1
9572171,1,1,1,1,1,1,16,1,49,1,6,,usa,49,10,1,1,1,4,2,4,1,1,1,1,6,1,1,40,1,1,1,15,1,1,1,36,1,1,1,25,1,1,1,20,1,1,1,19,1,1,1,25,1,1,1,20,1,1,1,40,1,1,1,19,1,1,1,10,1,1,85,1,1,80,1,1,1,85,1,1,1,35,1,1,1,80,1,1,1,85,1,1,1,80,1,1,1,80,1,1,1,85,1,1,1,90,1,1,1,25,1,1,1,80,1,1,45,1,1,15,1,1,1,30,1,1,1,45,1,1,1,25,1,1,1,30,1,1,1,25,1,1,1,30,1,1,1,40,1,1,1,25,1,1,1,25,1,1,1,25,1,1,60,1,1,75,1,1,1,75,1,1,1,75,1,1,1,75,1,1,1,75,1,1,1,75,1,1,1,75,1,1,1,75,1,1,1,75,1,1,1,75,1,1,1,65,1,Breaking the laws established by society. ,6,1,theft_hi_group3_1|assault_hi_group4_1|theft_hi_solo_1|assault_hi_group3_2|theft_hi_group1_1|assault_lo_group0_2|assault_hi_group3_1|catch_1|theft_lo_group3_1|assault_lo_group0_1|theft_hi_group0_1|theft_lo_solo_1|theft_lo_group0_2|theft_lo_group4_2|assault_lo_group1_1|assault_lo_group2_2|assault_hi_solo_1|theft_lo_group1_1|assault_lo_group1_2|theft_hi_solo_2|assault_lo_group4_1|theft_lo_group4_1|assault_lo_group3_1|assault_lo_group4_2|assault_hi_group2_1|assault_hi_group4_2|theft_lo_group3_2|assault_lo_solo_2|assault_hi_solo_2|assault_lo_group3_2|theft_hi_group3_2|assault_hi_group0_2|assault_lo_solo_1|assault_hi_group0_1|theft_lo_group1_2|theft_hi_group0_2|theft_hi_group4_1|theft_lo_group2_1|theft_lo_group2_2|catch_2|assault_hi_group1_1|theft_lo_group0_1|assault_hi_group2_2|theft_hi_group2_2|theft_hi_group4_2|theft_lo_solo_2|assault_lo_group2_1|theft_hi_group2_1|assault_hi_group1_2|theft_hi_group1_2
863727,1,1,1,1,1,1,13,4,35,1,2,,USA,35,4,1,1,1,4,2,4,1,1,1,1,60,1,1,60,1,1,1,70,1,1,1,60,1,1,1,70,1,1,1,60,1,1,1,45,1,1,1,60,1,1,1,75,1,1,1,60,1,1,1,60,1,1,1,60,1,1,60,1,1,75,1,1,1,75,1,1,1,60,1,1,1,80,1,1,1,75,1,1,1,70,1,1,1,75,1,1,1,75,1,1,1,75,1,1,1,60,1,1,1,75,1,1,75,1,1,80,1,1,1,60,1,1,1,70,1,1,1,65,1,1,1,75,1,1,1,80,1,1,1,80,1,1,1,80,1,1,1,80,1,1,1,75,1,1,1,80,1,1,75,1,1,80,1,1,1,75,1,1,1,65,1,1,1,75,1,1,1,80,1,1,1,75,1,1,1,80,1,1,1,75,1,1,1,80,1,1,1,75,1,1,1,60,1,A crime is when someone does something that knowingly causes harm to other people.,5,1,theft_hi_group2_1|theft_lo_solo_1|assault_hi_group4_1|theft_hi_group4_2|assault_lo_group3_2|assault_lo_group2_1|catch_1|theft_lo_group0_2|catch_2|assault_lo_group2_2|assault_hi_solo_1|assault_hi_group4_2|assault_lo_group0_1|theft_lo_group4_1|assault_hi_solo_2|theft_lo_group2_2|theft_lo_group3_2|theft_lo_group1_2|assault_lo_group3_1|assault_hi_group3_1|assault_lo_group4_2|assault_lo_group1_1|theft_lo_group3_1|assault_hi_group1_2|theft_hi_group3_1|theft_hi_group0_2|theft_hi_group1_2|assault_hi_group1_1|theft_hi_group2_2|theft_lo_group0_1|theft_hi_group1_1|theft_lo_group1_1|theft_hi_group4_1|theft_hi_group0_1|theft_hi_group3_2|assault_lo_group4_1|assault_hi_group0_1|assault_lo_solo_2|assault_lo_group0_2|assault_lo_group1_2|assault_hi_group2_1|theft_hi_solo_1|theft_hi_solo_2|assault_hi_group2_2|assault_hi_group3_2|assault_hi_group0_2|theft_lo_group2_1|assault_lo_solo_1|theft_lo_solo_2|theft_lo_group4_2
8522824,1,1,1,1,1,1,14,1,33,2,3,,united states,33,11,1,1,1,4,2,4,1,1,1,1,71,1,1,93,1,1,1,10,1,1,1,66,1,1,1,77,1,1,1,75,1,1,1,62,1,1,1,88,1,1,1,85,1,1,1,100,1,1,1,83,1,1,1,3,1,1,99,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,94,1,1,100,1,1,99,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,99,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,100,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,committing acts that defy governmental and moral laws.,2,1,assault_hi_solo_1|catch_2|theft_hi_group4_1|theft_lo_group3_1|assault_hi_group2_2|assault_lo_group0_1|theft_hi_group2_1|theft_lo_group1_1|assault_hi_group2_1|theft_hi_group2_2|assault_lo_group1_2|assault_lo_group4_2|assault_lo_solo_2|theft_lo_solo_1|assault_hi_solo_2|assault_lo_group1_1|assault_hi_group3_1|theft_lo_solo_2|theft_hi_group0_1|assault_lo_group2_1|assault_hi_group4_1|theft_lo_group2_1|theft_lo_group0_1|theft_hi_group0_2|theft_lo_group4_2|theft_lo_group3_2|assault_hi_group3_2|assault_lo_solo_1|theft_hi_group1_1|catch_1|theft_lo_group2_2|assault_hi_group4_2|assault_hi_group0_2|assault_lo_group0_2|theft_hi_solo_1|theft_hi_group4_2|assault_hi_group0_1|theft_lo_group0_2|assault_lo_group2_2|assault_lo_group3_1|theft_hi_solo_2|assault_lo_group4_1|assault_hi_group1_1|assault_lo_group3_2|assault_hi_group1_2|theft_hi_group1_2|theft_hi_group3_2|theft_lo_group4_1|theft_lo_group1_2|theft_hi_group3_1
9206555,1,1,1,1,1,1,16,4,34,2,4,,America,34,5,1,1,1,4,2,4,1,1,1,1,25,1,1,60,1,1,1,5,1,1,1,65,1,1,1,30,1,1,1,23,1,1,1,23,1,1,1,3,1,1,1,35,1,1,1,65,1,1,1,25,1,1,1,35,1,1,75,1,1,64,1,1,1,76,1,1,1,65,1,1,1,85,1,1,1,76,1,1,1,70,1,1,1,78,1,1,1,76,1,1,1,75,1,1,1,76,1,1,1,76,1,1,65,1,1,65,1,1,1,65,1,1,1,65,1,1,1,65,1,1,1,60,1,1,1,65,1,1,1,65,1,1,1,65,1,1,1,65,1,1,1,65,1,1,1,65,1,1,75,1,1,75,1,1,1,76,1,1,1,75,1,1,1,76,1,1,1,76,1,1,1,75,1,1,1,75,1,1,1,78,1,1,1,75,1,1,1,75,1,1,1,75,1,An act of force or coercion enacted on the unwilling. ,3,1,assault_lo_group2_2|assault_hi_group2_1|assault_lo_group0_1|assault_hi_group1_1|assault_lo_solo_2|theft_hi_group4_2|theft_hi_group3_2|theft_hi_group0_2|assault_hi_solo_1|assault_lo_group0_2|theft_lo_group1_2|theft_hi_group2_1|theft_hi_group1_2|catch_1|assault_lo_group4_1|catch_2|assault_hi_group2_2|theft_hi_group4_1|theft_lo_group0_1|assault_hi_group3_2|assault_hi_group0_1|theft_hi_group3_1|assault_hi_group4_2|assault_hi_group1_2|assault_hi_group0_2|assault_hi_group4_1|theft_hi_group0_1|theft_lo_group4_1|theft_lo_group0_2|assault_lo_solo_1|theft_lo_group3_2|assault_hi_group3_1|theft_lo_solo_1|assault_lo_group1_1|assault_lo_group3_1|assault_hi_solo_2|theft_hi_group2_2|theft_hi_group1_1|theft_lo_group2_2|assault_lo_group3_2|theft_lo_group4_2|theft_lo_group2_1|theft_lo_group1_1|theft_hi_solo_2|assault_lo_group4_2|theft_hi_solo_1|theft_lo_group3_1|theft_lo_solo_2|assault_lo_group2_1|assault_lo_group1_2
4385251,1,1,1,1,1,1,16,4,33,1,3,,USA,33,10,1,1,1,4,2,4,1,1,1,1,25,1,1,65,1,1,1,15,1,1,1,35,1,1,1,30,1,1,1,40,1,1,1,30,1,1,1,55,1,1,1,51,1,1,1,40,1,1,1,10,1,1,1,0,1,1,90,1,1,62,1,1,1,95,1,1,1,40,1,1,1,85,1,1,1,90,1,1,1,75,1,1,1,95,1,1,1,93,1,1,1,90,1,1,1,66,1,1,1,75,1,1,65,1,1,60,1,1,1,65,1,1,1,70,1,1,1,61,1,1,1,60,1,1,1,61,1,1,1,67,1,1,1,62,1,1,1,60,1,1,1,60,1,1,1,60,1,1,85,1,1,75,1,1,1,85,1,1,1,84,1,1,1,85,1,1,1,85,1,1,1,85,1,1,1,85,1,1,1,85,1,1,1,85,1,1,1,88,1,1,1,85,1,Something that breaks the law,5,1,theft_lo_group2_1|theft_hi_group2_2|catch_1|assault_hi_group2_1|theft_hi_group3_2|theft_lo_group3_1|assault_lo_group2_1|assault_lo_solo_1|theft_lo_group4_1|catch_2|theft_lo_group3_2|theft_lo_group0_1|assault_hi_group1_2|theft_hi_group1_2|assault_hi_group1_1|theft_hi_group3_1|theft_lo_solo_2|assault_lo_group3_2|theft_hi_group1_1|theft_hi_solo_2|assault_hi_group4_2|assault_lo_solo_2|assault_lo_group4_2|theft_hi_group4_1|theft_lo_group2_2|assault_hi_group0_2|theft_lo_group4_2|theft_hi_group0_1|assault_hi_solo_2|assault_hi_group3_2|theft_hi_solo_1|assault_hi_group3_1|theft_hi_group4_2|assault_lo_group4_1|assault_lo_group1_2|assault_lo_group1_1|assault_lo_group0_2|theft_lo_group0_2|assault_lo_group3_1|theft_hi_group2_1|theft_lo_group1_1|assault_hi_group0_1|theft_lo_solo_1|assault_hi_group4_1|assault_lo_group2_2|theft_lo_group1_2|assault_lo_group0_1|assault_hi_solo_1|assault_hi_group2_2|theft_hi_group0_2
