mTurkCode,suspectedBot,catch_2
3827964,0,Doing something that is harming another individual.
91073,0,A crime is an action that goes against a law or societal need.
6932075,0,Doing something that is against the law
5627570,0,An act that violates the law.
3170257,0,When someone does something unjust 
2285138,0,"A crime is a legal construct, not a moral or ethical one. A crime is an action that the government has attached a punishment to."
7273223,0,Something done to break the law
5508821,0,An act that is against the law. 
6432651,0,A crime is any action that is against the Federal law and natural law of society.
7779612,1,"Crime definition is - an illegal act for which someone can be punished by the ... Other Words from crime Synonyms & Antonyms Choose the Right Synonym More ... has not been charged with crimes related to his work for Trump's campaign, nor ... from various online news sources to reflect current usage of the word 'crime. / "
8858462,0,An act which violates the law of property or persons.
4962541,1,"Darin Bolar, a 52-year-old Seattle registered sex offender with an extensive criminal record, is one of these offenders, according to Seattle police."
5560597,0,crime is the immoral thing done by one person to another
5351791,0,Evil act that is against the law or morals.
7042549,0,"For me, the word crime is the action of a person who does not know how to steal. / "
3498393,0,disturb the behavear to good
1243530,1,"Wrong Place, Write Crime is a podcast about crime fiction authors, mysteries, art and life featuring Frank Zafiro as host. Episodes include guest interviews (primarily with authors of crime fiction, but not always), as well as quick hit reviews from mystery bookstore experts, flash interviews with future guests and updates on works in progress by the host and other authors. /  / This podcast explores the art of writing crime fiction, the art of reading crime fiction, and any other cool topic that comes up, as long as it falls under the category of either ïartÍ or ïlife.Í"
1400991,1,A crime is an unlawful act punishable by a state or other authority.
7467096,0,Crime is an action related to offense which is not legal and is punishable by law
6579350,0,Doing something that is prohibited by the law.
4446373,0,"A crime is an action in which someone did, or plan on doing, that violates the penal code. That is if found to be true and proven guilty. "
8519200,1,"THE NOTION THAT ACTS SUCH AS MURDER,RAPE AND THEFT ARE TO BE PROHIBITED EXISTS WORLDWIDE.WHAT PRECISELY IS A CRIMINAL OFFENSE IS DIFINED IS CRIMINAL LAW OF EACH COUNTRY."
172949,1,crime
6621440,0,"A crime is something whereby a person violates the mores and norms of a society. These norms are often codified into law. When an individual violates these laws, they are committing a crime. The severity of a crime varies between cultures and communities."
8471672,0,If you do something to someone else and that action causes them to suffer in an unreasonable way.
5029732,0,an act that is committed that is against the laws put in place by the government
332858,0,a crime is something that does harm to someone else
4942290,1,"THE NOTION THAT ACTS SUCH AS MURDER,RAPE AND THEFT ARE TO BE PROHIBITED EXISTS WORLDWIDE.WHAT PRECISELY  IS A CRIMINAL OFFENCE IS DEFINED BY CRIMINAL LAW OF EACH COUNTRY,."
6826967,0,Any activity or act that involves hurting someone or taking something that was not given willfully.
3863605,0,"Doing harm to another person, that is not in self defense.  "
2248790,0,anything unlawful as defined by the current authorities.
1628747,1,An illegal act for which someone can be punished by the government.
1048547,0,"A crime is best described by when you act against someone violating their safety, property, or physical/mental/emotional well-being."
433086,1,an action or omission that constitutes an offense that may be prosecuted by the state and is punishable by law. / 
9950549,1,An illegal act for which someone can be punished by the government
8962812,0,An activity or exclusion that comprises an offense that might be indicted by the state and is deserving of law.
9104266,1,"crime is an unlawful act punishable by a state or other authority.[1] The term ""crime"" does not, in modern criminal law, have any simple and universally accepted definition,[2] though statutory definitions have been provided for certain purposes.The most popular view is that crime is a category created by law; in other words, something is a crime if declared as such by the relevant and applicable law."
1988123,1,an illegal act for which someone can be punished by the government especially : a gross violation of law.
5546722,0,An activity which is against the law of the land
7153495,0,An action taken that is against the law in a particular area.
5760735,0,An act that violates a law.
6842353,1,"In ordinary language, a crime is an unlawful act punishable by a state or other authority."
3604830,1,"Crime is an unlawful act punishable by a state or other authority. The term ""crime"" does not, in modern criminal law, have any simple and universally accepted definition, though statutory definitions have been provided for certain purposes."
9699807,1,"crime is an unlawful act punishable by a state or other authority.[1] The term ""crime"" does not, in modern criminal law, have any simple and universally accepted definition,[2] though statutory definitions have been provided for certain purposes.The most popular view is that crime is a category created by law; in other words, something is a crime if declared as such by the relevant and applicable law."
1378782,0,Felonies.
5235722,1,"crime: judges and law-makers are / influenced by these norms and values when they define / what crime is, and make recommendations about suitable / punishments. / But social norms and values change over time, and are different in each country. / This means the acts or behaviours that are considered to be criminal also change / over time. Moreover, there are many other reasons why certain acts are criminalised / while others arenÍt. This is often a political response rather than one based on social / norms _ law-makers sometimes need to be seen to be ïdoing somethingÍ about the / problem of crime. / "
4670200,1,an action or omission that constitutes an offense that may be prosecuted by the state and is punishable by law.
