mTurkCode,Consent1,Consent2,Consent3,Consent4,Consent5,ethnicity,education,marital_status,age,gender,income,parent_income,country_born,usa_years,religion,Instruct1,Instruct2,Instruct3,Comprehension1,Comprehension2,Comprehension3,Comprehension4,Comprehension5,cue,vig,vig,assault_lo_solo_1_1,cue,vig,vig,assault_lo_solo_2_1,cue,vig,vig,rev,assault_lo_group0_1_1,cue,vig,vig,rev,assault_lo_group0_2_1,cue,vig,vig,rev,assault_lo_group1_1_1,cue,vig,vig,rev,assault_lo_group1_2_1,cue,vig,vig,rev,assault_lo_group2_1_1,cue,vig,vig,rev,assault_lo_group2_2_1,cue,vig,vig,rev,assault_lo_group3_1_1,cue,vig,vig,rev,assault_lo_group3_2_1,cue,vig,vig,rev,assault_lo_group4_1_1,cue,vig,vig,rev,assault_lo_group4_2_1,cue,vig,vig,assault_hi_solo_1_1,cue,vig,vig,assault_hi_solo_2_1,cue,vig,vig,rev,assault_hi_group0_1_1,cue,vig,vig,rev,assault_hi_group0_2_1,cue,vig,vig,rev,assault_hi_group1_1_1,cue,vig,vig,rev,assault_hi_group1_2_1,cue,vig,vig,rev,assault_hi_group2_1_1,cue,vig,vig,rev,assault_hi_group2_2_1,cue,vig,vig,rev,assault_hi_group3_1_1,cue,vig,vig,rev,assault_hi_group3_2_1,cue,vig,vig,rev,assault_hi_group4_1_1,cue,vig,vig,rev,assault_hi_group4_2_1,cue,vig,vig,theft_lo_solo_1_1,cue,vig,vig,theft_lo_solo_2_1,cue,vig,vig,rev,theft_lo_group0_1_1,cue,vig,vig,rev,theft_lo_group0_2_1,cue,vig,vig,rev,theft_lo_group1_1_1,cue,vig,vig,rev,theft_lo_group1_2_1,cue,vig,vig,rev,theft_lo_group2_1_1,cue,vig,vig,rev,theft_lo_group2_2_1,cue,vig,vig,rev,theft_lo_group3_1_1,cue,vig,vig,rev,theft_lo_group3_2_1,cue,vig,vig,rev,theft_lo_group4_1_1,cue,vig,vig,rev,theft_lo_group4_2_1,cue,vig,vig,theft_hi_solo_1_1,cue,vig,vig,theft_hi_solo_2_1,cue,vig,vig,rev,theft_hi_group0_1_1,cue,vig,vig,rev,theft_hi_group0_2_1,cue,vig,vig,rev,theft_hi_group1_1_1,cue,vig,vig,rev,theft_hi_group1_2_1,cue,vig,vig,rev,theft_hi_group2_1_1,cue,vig,vig,rev,theft_hi_group2_2_1,cue,vig,vig,rev,theft_hi_group3_1_1,cue,vig,vig,rev,theft_hi_group3_2_1,cue,vig,vig,rev,theft_hi_group4_1_1,cue,vig,vig,rev,theft_hi_group4_2_1,catch_1,catch_2,suspicion,debrief,DO-BR-FL_9
8930920,1,1,1,1,1,1,14,1,45,2,6,,US,45,4,1,1,1,4,2,4,1,1,1,1,,31,1,1,,9,1,1,,1,27,1,1,,1,43,1,1,,1,31,1,1,,1,20,1,1,,1,32,1,1,,1,40,1,1,,1,30,1,1,,1,34,1,1,,1,31,1,1,,1,49,1,1,,73,1,1,,60,1,1,,1,49,1,1,,1,49,1,1,,1,81,1,1,,1,52,1,1,,1,83,1,1,,1,56,1,1,,1,91,1,1,,1,56,1,1,,1,83,1,1,,1,61,1,1,,40,1,1,,17,1,1,,1,42,1,1,,1,37,1,1,,1,45,1,1,,1,49,1,1,,1,28,1,1,,1,31,1,1,,1,41,1,1,,1,47,1,1,,1,52,1,1,,1,48,1,1,,58,1,1,,58,1,1,,1,30,1,1,,1,47,1,1,,1,47,1,1,,1,53,1,1,,1,56,1,1,,1,58,1,1,,1,42,1,1,,1,53,1,1,,1,58,1,1,,1,66,1,doing something that is against the law,4,1,theft_lo_solo_2|assault_hi_group3_1|assault_hi_group1_1|theft_lo_group2_2|theft_lo_group0_1|theft_hi_group4_2|assault_hi_group0_2|theft_hi_group2_2|theft_hi_solo_1|theft_lo_group3_2|assault_lo_group3_1|assault_lo_solo_1|assault_hi_solo_1|theft_hi_group3_2|assault_hi_group1_2|assault_lo_group4_2|theft_hi_group1_2|theft_lo_group4_1|theft_lo_group1_1|assault_lo_solo_2|assault_hi_group4_1|assault_lo_group2_2|assault_hi_group4_2|assault_hi_group0_1|theft_hi_group4_1|theft_lo_group1_2|theft_lo_group4_2|assault_hi_group2_1|theft_hi_group0_2|theft_lo_group3_1|assault_hi_group3_2|assault_lo_group0_1|theft_lo_solo_1|assault_lo_group3_2|theft_hi_group3_1|catch_2|theft_hi_group1_1|assault_lo_group1_1|assault_hi_group2_2|assault_lo_group0_2|catch_1|assault_lo_group4_1|theft_lo_group0_2|assault_lo_group1_2|theft_hi_solo_2|assault_lo_group2_1|theft_hi_group0_1|assault_hi_solo_2|theft_hi_group2_1|theft_lo_group2_1
1813219,1,1,1,1,1,1,16,4,33,1,4,,United States,32,10,1,1,1,4,2,4,1,1,1,,1,25,1,,1,25,1,,1,1,45,1,,1,1,25,1,,1,1,30,1,,1,1,5,1,,1,1,40,1,,1,1,40,1,,1,1,25,1,,1,1,25,1,,1,1,30,1,,1,1,45,1,,1,75,1,,1,85,1,,1,1,85,1,,1,1,25,1,,1,1,55,1,,1,1,85,1,,1,1,85,1,,1,1,85,1,,1,1,90,1,,1,1,90,1,,1,1,90,1,,1,1,90,1,,1,30,1,,1,35,1,,1,1,35,1,,1,1,30,1,,1,1,30,1,,1,1,30,1,,1,1,35,1,,1,1,30,1,,1,1,40,1,,1,1,50,1,,1,1,50,1,,1,1,35,1,,1,35,1,,1,40,1,,1,1,55,1,,1,1,55,1,,1,1,60,1,,1,1,60,1,,1,1,65,1,,1,1,40,1,,1,1,60,1,,1,1,60,1,,1,1,65,1,,1,1,70,1,An act that breaks the law as defined by the state.  ,4,1,theft_lo_group4_1|theft_hi_group3_2|assault_lo_group3_2|theft_hi_group0_1|theft_hi_group1_2|theft_hi_group4_2|theft_lo_solo_2|theft_lo_group1_1|assault_lo_group0_2|assault_lo_group3_1|assault_lo_group1_1|theft_lo_group0_2|theft_hi_group0_2|assault_hi_group1_1|assault_lo_group4_2|theft_hi_group4_1|assault_hi_solo_1|assault_hi_solo_2|assault_lo_solo_2|assault_hi_group0_2|assault_lo_group2_1|assault_hi_group3_1|theft_lo_group4_2|assault_hi_group4_2|assault_lo_solo_1|assault_lo_group2_2|assault_hi_group4_1|assault_hi_group0_1|theft_lo_group1_2|theft_hi_group2_1|theft_lo_solo_1|theft_hi_group3_1|theft_hi_group1_1|theft_lo_group2_1|theft_lo_group3_1|assault_lo_group1_2|theft_lo_group3_2|catch_2|assault_hi_group2_1|assault_hi_group2_2|theft_lo_group0_1|assault_hi_group1_2|assault_hi_group3_2|assault_lo_group4_1|assault_lo_group0_1|theft_hi_group2_2|theft_hi_solo_1|theft_lo_group2_2|theft_hi_solo_2|catch_1
5081121,1,1,1,1,1,1,18,4,26,1,4,4,us,26,5,1,1,1,4,2,4,1,1,1,,1,76,1,,1,68,1,,1,1,68,1,,1,1,76,1,,1,1,63,1,,1,1,67,1,,1,1,62,1,,1,1,72,1,,1,1,75,1,,1,1,79,1,,1,1,63,1,,1,1,67,1,,1,79,1,,1,71,1,,1,1,66,1,,1,1,78,1,,1,1,68,1,,1,1,77,1,,1,1,66,1,,1,1,69,1,,1,1,65,1,,1,1,64,1,,1,1,81,1,,1,1,78,1,,1,86,1,,1,78,1,,1,1,67,1,,1,1,59,1,,1,1,68,1,,1,1,73,1,,1,1,69,1,,1,1,66,1,,1,1,86,1,,1,1,76,1,,1,1,50,1,,1,1,85,1,,1,78,1,,1,83,1,,1,1,79,1,,1,1,80,1,,1,1,75,1,,1,1,66,1,,1,1,84,1,,1,1,86,1,,1,1,68,1,,1,1,69,1,,1,1,79,1,,1,1,83,1,"In ordinary language, a crime is an unlawful act punishable by a state or other authority. The term ""crime"" does not, in modern criminal law, have any simple and universally accepted definition, though statutory definitions have been provided for certain purposes. ... Such acts are forbidden and punishable by law.",5,1,theft_lo_group3_2|assault_hi_solo_1|catch_2|theft_hi_solo_1|theft_hi_group4_1|theft_hi_solo_2|assault_lo_group0_2|assault_hi_group1_2|assault_lo_solo_1|assault_lo_group3_2|theft_lo_group4_1|assault_lo_group3_1|assault_lo_group2_2|theft_hi_group1_1|theft_lo_group0_2|assault_lo_group1_2|assault_lo_group1_1|assault_hi_group2_2|assault_hi_group3_2|assault_lo_group2_1|assault_hi_group3_1|assault_lo_group4_1|theft_hi_group1_2|assault_hi_group2_1|assault_lo_group0_1|assault_hi_group1_1|assault_hi_group0_1|theft_hi_group0_1|assault_hi_solo_2|assault_lo_group4_2|theft_lo_group1_1|assault_lo_solo_2|theft_hi_group3_2|theft_lo_group2_1|theft_lo_group0_1|theft_hi_group2_1|assault_hi_group0_2|theft_hi_group4_2|theft_hi_group2_2|theft_lo_group3_1|theft_lo_solo_2|catch_1|theft_lo_group2_2|theft_hi_group0_2|theft_hi_group3_1|theft_lo_solo_1|theft_lo_group1_2|theft_lo_group4_2|assault_hi_group4_1|assault_hi_group4_2
1831286,1,1,1,1,1,1,14,1,34,1,2,,usa,34,10,1,1,1,4,2,4,1,1,1,,1,36,1,,1,45,1,,1,1,37,1,,1,1,35,1,,1,1,11,1,,1,1,0,1,,1,1,15,1,,1,1,25,1,,1,1,35,1,,1,1,24,1,,1,1,0,1,,1,1,20,1,,1,65,1,,1,75,1,,1,1,65,1,,1,1,0,1,,1,1,50,1,,1,1,60,1,,1,1,75,1,,1,1,61,1,,1,1,75,1,,1,1,75,1,,1,1,75,1,,1,1,70,1,,1,25,1,,1,21,1,,1,1,5,1,,1,1,10,1,,1,1,32,1,,1,1,25,1,,1,1,19,1,,1,1,10,1,,1,1,15,1,,1,1,10,1,,1,1,23,1,,1,1,20,1,,1,50,1,,1,51,1,,1,1,55,1,,1,1,50,1,,1,1,24,1,,1,1,50,1,,1,1,25,1,,1,1,50,1,,1,1,50,1,,1,1,60,1,,1,1,50,1,,1,1,45,1,Behavior or action that violates established rules en forcible by justice departments.,5,1,assault_hi_group0_2|assault_hi_group4_1|theft_hi_group0_2|theft_hi_solo_1|theft_lo_group1_2|theft_hi_group3_2|assault_lo_group2_1|theft_lo_group0_1|assault_hi_group2_1|assault_lo_group4_1|catch_1|theft_lo_group2_2|theft_hi_group0_1|theft_lo_group3_2|theft_hi_group2_1|theft_lo_group0_2|assault_hi_group4_2|theft_hi_group1_2|assault_lo_group0_2|theft_hi_group3_1|assault_lo_group4_2|theft_lo_solo_1|theft_lo_group3_1|theft_lo_group4_2|assault_lo_group1_2|assault_hi_solo_1|assault_hi_group3_1|theft_lo_solo_2|assault_hi_group1_1|assault_hi_group3_2|assault_hi_group0_1|theft_lo_group2_1|assault_hi_group2_2|assault_lo_solo_2|assault_lo_solo_1|theft_hi_group4_2|assault_hi_group1_2|theft_lo_group1_1|assault_lo_group0_1|assault_lo_group3_1|theft_hi_group2_2|theft_hi_solo_2|theft_hi_group1_1|theft_lo_group4_1|theft_hi_group4_1|catch_2|assault_lo_group1_1|assault_lo_group3_2|assault_lo_group2_2|assault_hi_solo_2
3270334,1,1,1,1,1,1,12,4,29,2,3,,United States,29,4,1,1,1,4,2,4,1,1,1,1,,61,1,1,,40,1,1,,1,59,1,1,,1,51,1,1,,1,31,1,1,,1,10,1,1,,1,39,1,1,,1,51,1,1,,1,55,1,1,,1,36,1,1,,1,83,1,1,,1,75,1,1,,92,1,1,,89,1,1,,1,86,1,1,,1,71,1,1,,1,87,1,1,,1,99,1,1,,1,100,1,1,,1,81,1,1,,1,99,1,1,,1,100,1,1,,1,100,1,1,,1,98,1,1,,56,1,1,,60,1,1,,1,62,1,1,,1,51,1,1,,1,69,1,1,,1,51,1,1,,1,40,1,1,,1,51,1,1,,1,71,1,1,,1,62,1,1,,1,98,1,1,,1,51,1,1,,75,1,1,,87,1,1,,1,56,1,1,,1,92,1,1,,1,81,1,1,,1,100,1,1,,1,96,1,1,,1,66,1,1,,1,69,1,1,,1,100,1,1,,1,99,1,1,,1,100,1,crime is doing something that is illegal.,5,1,theft_lo_group3_2|assault_hi_solo_2|assault_lo_group1_2|theft_lo_group2_1|assault_hi_group3_2|theft_hi_group3_2|theft_hi_group3_1|assault_hi_group2_1|theft_lo_group0_2|assault_lo_group1_1|assault_hi_group4_1|assault_hi_group2_2|assault_lo_group2_1|assault_lo_group4_1|theft_hi_group0_1|assault_lo_group3_2|theft_hi_group4_2|assault_lo_solo_2|theft_lo_solo_1|theft_hi_group0_2|theft_lo_group0_1|theft_hi_group4_1|theft_lo_solo_2|assault_hi_group0_2|assault_hi_group0_1|assault_hi_group1_2|assault_hi_group1_1|theft_hi_group2_2|assault_lo_group0_1|theft_lo_group1_1|theft_hi_group1_2|assault_lo_group4_2|assault_lo_group0_2|theft_hi_solo_2|catch_1|assault_lo_group3_1|assault_lo_group2_2|theft_lo_group1_2|theft_lo_group4_1|assault_hi_group4_2|theft_lo_group3_1|catch_2|theft_hi_solo_1|theft_hi_group2_1|assault_hi_solo_1|theft_hi_group1_1|assault_lo_solo_1|assault_hi_group3_1|theft_lo_group2_2|theft_lo_group4_2
2345749,1,1,1,1,1,1,16,4,27,1,3,3,USA,29,5,1,1,1,4,2,4,1,1,1,,1,39,1,,1,62,1,,1,1,25,1,,1,1,19,1,,1,1,84,1,,1,1,17,1,,1,1,58,1,,1,1,60,1,,1,1,79,1,,1,1,62,1,,1,1,84,1,,1,1,79,1,,1,77,1,,1,61,1,,1,1,30,1,,1,1,24,1,,1,1,34,1,,1,1,6,1,,1,1,61,1,,1,1,64,1,,1,1,38,1,,1,1,74,1,,1,1,62,1,,1,1,79,1,,1,18,1,,1,71,1,,1,1,78,1,,1,1,32,1,,1,1,64,1,,1,1,36,1,,1,1,57,1,,1,1,65,1,,1,1,82,1,,1,1,73,1,,1,1,67,1,,1,1,84,1,,1,44,1,,1,38,1,,1,1,79,1,,1,1,21,1,,1,1,36,1,,1,1,66,1,,1,1,45,1,,1,1,61,1,,1,1,62,1,,1,1,90,1,,1,1,79,1,,1,1,73,1,They classify violations of laws based on common law,4,1,assault_lo_group3_1|theft_lo_group2_2|assault_lo_group4_2|catch_2|theft_hi_group4_2|assault_hi_group2_1|assault_lo_group1_1|assault_hi_group1_2|theft_lo_group0_1|assault_lo_group1_2|theft_lo_solo_1|theft_lo_group4_2|assault_hi_group1_1|assault_hi_solo_1|theft_hi_group2_2|assault_hi_group4_2|assault_hi_group2_2|assault_lo_group0_1|assault_hi_group0_2|assault_hi_group0_1|assault_hi_group4_1|theft_hi_group3_1|theft_hi_solo_2|theft_hi_group1_1|assault_lo_solo_2|theft_hi_group2_1|assault_lo_group2_2|assault_lo_group2_1|theft_lo_group0_2|assault_lo_group3_2|theft_lo_group3_2|theft_hi_group1_2|catch_1|theft_lo_group4_1|theft_lo_group1_1|theft_hi_group3_2|theft_hi_group0_1|assault_hi_group3_1|theft_lo_group3_1|assault_lo_group0_2|assault_hi_solo_2|theft_hi_group4_1|assault_hi_group3_2|theft_lo_solo_2|theft_hi_group0_2|assault_lo_solo_1|theft_lo_group1_2|theft_hi_solo_1|assault_lo_group4_1|theft_lo_group2_1
4148063,1,1,1,1,1,1,17,4,27,2,2,2,United States,27,10,1,1,1,4,2,4,1,1,1,1,,68,1,1,,40,1,1,,1,41,1,1,,1,23,1,1,,1,36,1,1,,1,38,1,1,,1,33,1,1,,1,57,1,1,,1,33,1,1,,1,37,1,1,,1,37,1,1,,1,86,1,1,,100,1,1,,100,1,1,,1,100,1,1,,1,84,1,1,,1,92,1,1,,1,76,1,1,,1,100,1,1,,1,100,1,1,,1,90,1,1,,1,100,1,1,,1,100,1,1,,1,88,1,1,,65,1,1,,72,1,1,,1,82,1,1,,1,69,1,1,,1,33,1,1,,1,64,1,1,,1,62,1,1,,1,76,1,1,,1,77,1,1,,1,76,1,1,,1,66,1,1,,1,80,1,1,,77,1,1,,100,1,1,,1,80,1,1,,1,61,1,1,,1,82,1,1,,1,91,1,1,,1,80,1,1,,1,74,1,1,,1,76,1,1,,1,100,1,1,,1,88,1,1,,1,43,1,"A crime is a vicious act that is perpetrated against someone else that results in either physical or mental harm.  This can include theft, violence, assault, slander and other types of negative behavior done from one human being to another.",5,1,theft_hi_group1_2|theft_lo_group1_2|assault_lo_group1_2|theft_hi_group3_2|assault_lo_solo_2|assault_lo_group1_1|assault_lo_group3_2|assault_hi_group0_2|assault_lo_group2_2|assault_hi_group3_2|theft_lo_group0_2|assault_hi_group0_1|catch_1|theft_lo_group3_2|assault_lo_group4_2|theft_lo_group2_1|assault_hi_group1_2|assault_hi_group2_2|theft_hi_solo_1|assault_hi_solo_2|assault_hi_group4_2|assault_hi_group3_1|theft_lo_group1_1|theft_hi_group0_2|theft_hi_group4_1|theft_hi_group1_1|theft_lo_group0_1|theft_hi_group4_2|theft_hi_solo_2|theft_hi_group2_2|assault_lo_group4_1|assault_lo_group0_2|theft_lo_group4_1|catch_2|assault_hi_group2_1|theft_hi_group3_1|assault_lo_group3_1|theft_lo_group4_2|assault_hi_solo_1|assault_hi_group4_1|assault_lo_solo_1|theft_lo_group2_2|assault_hi_group1_1|theft_lo_group3_1|theft_hi_group2_1|theft_hi_group0_1|assault_lo_group0_1|theft_lo_solo_1|assault_lo_group2_1|theft_lo_solo_2
8004346,1,1,1,1,1,1,18,1,65,1,2,2,american,65,5,1,1,1,4,2,4,1,1,1,,1,23,1,,1,37,1,,1,1,84,1,,1,1,15,1,,1,1,72,1,,1,1,27,1,,1,1,23,1,,1,1,29,1,,1,1,20,1,,1,1,81,1,,1,1,24,1,,1,1,78,1,,1,69,1,,1,52,1,,1,1,66,1,,1,1,0,1,,1,1,71,1,,1,1,21,1,,1,1,84,1,,1,1,31,1,,1,1,15,1,,1,1,78,1,,1,1,61,1,,1,1,25,1,,1,16,1,,1,77,1,,1,1,85,1,,1,1,28,1,,1,1,27,1,,1,1,75,1,,1,1,32,1,,1,1,13,1,,1,1,77,1,,1,1,17,1,,1,1,24,1,,1,1,87,1,,1,76,1,,1,26,1,,1,1,79,1,,1,1,12,1,,1,1,80,1,,1,1,81,1,,1,1,81,1,,1,1,18,1,,1,1,66,1,,1,1,83,1,,1,1,28,1,,1,1,85,1,crime doing wrong criminal activities  ,2,1,theft_hi_group3_2|assault_hi_group0_2|theft_hi_group3_1|assault_hi_group2_2|theft_lo_group4_2|assault_lo_group2_1|theft_hi_group2_1|assault_lo_group1_2|theft_hi_group1_1|theft_hi_group1_2|theft_hi_group4_2|theft_hi_group0_2|assault_hi_group3_2|assault_hi_solo_2|assault_hi_group4_1|assault_lo_group4_2|theft_hi_solo_1|assault_hi_group4_2|assault_lo_group2_2|theft_lo_group1_2|assault_hi_group2_1|assault_lo_solo_1|theft_lo_group0_1|theft_lo_group3_1|assault_lo_group3_1|assault_lo_group3_2|assault_hi_group3_1|theft_hi_group0_1|theft_lo_group3_2|theft_lo_group1_1|assault_hi_group0_1|assault_hi_solo_1|assault_lo_group1_1|theft_hi_group4_1|theft_lo_group0_2|assault_lo_group4_1|catch_2|assault_hi_group1_1|assault_hi_group1_2|theft_lo_group2_1|assault_lo_group0_1|theft_lo_group4_1|assault_lo_solo_2|theft_hi_solo_2|theft_lo_solo_2|theft_lo_group2_2|catch_1|theft_lo_solo_1|assault_lo_group0_2|theft_hi_group2_2
1858049,1,1,1,1,1,1,13,1,24,2,2,,USA,24,11,1,1,1,4,2,4,1,1,1,1,,60,1,1,,50,1,1,,1,55,1,1,,1,55,1,1,,1,60,1,1,,1,30,1,1,,1,50,1,1,,1,55,1,1,,1,60,1,1,,1,50,1,1,,1,60,1,1,,1,60,1,1,,65,1,1,,75,1,1,,1,65,1,1,,1,62,1,1,,1,65,1,1,,1,95,1,1,,1,90,1,1,,1,60,1,1,,1,100,1,1,,1,70,1,1,,1,100,1,1,,1,85,1,1,,50,1,1,,50,1,1,,1,50,1,1,,1,40,1,1,,1,50,1,1,,1,60,1,1,,1,50,1,1,,1,55,1,1,,1,55,1,1,,1,50,1,1,,1,45,1,1,,1,50,1,1,,65,1,1,,65,1,1,,1,60,1,1,,1,67,1,1,,1,65,1,1,,1,65,1,1,,1,65,1,1,,1,70,1,1,,1,65,1,1,,1,65,1,1,,1,65,1,1,,1,65,1,Crime is doing something that is against the law.,2,1,assault_lo_group1_2|assault_hi_solo_2|theft_hi_group2_2|theft_lo_group0_2|assault_hi_group0_1|assault_hi_group1_1|theft_lo_group1_2|theft_hi_group4_1|assault_hi_group3_2|theft_hi_group3_2|assault_lo_group3_2|theft_lo_group2_2|theft_hi_group0_1|theft_lo_group2_1|catch_1|assault_lo_group3_1|theft_lo_group1_1|assault_lo_group2_2|assault_hi_solo_1|assault_hi_group4_2|assault_lo_group2_1|assault_hi_group3_1|theft_hi_group3_1|theft_lo_group4_1|theft_hi_solo_2|assault_hi_group4_1|assault_lo_solo_2|assault_lo_group0_2|theft_lo_group4_2|assault_lo_group4_1|assault_lo_group0_1|assault_hi_group2_2|assault_lo_solo_1|theft_lo_group3_1|theft_hi_group1_1|assault_lo_group4_2|theft_hi_group2_1|theft_lo_solo_1|assault_hi_group2_1|assault_hi_group1_2|catch_2|theft_lo_group0_1|assault_lo_group1_1|theft_hi_group1_2|assault_hi_group0_2|theft_hi_group0_2|theft_lo_group3_2|theft_hi_group4_2|theft_lo_solo_2|theft_hi_solo_1
9658684,1,1,1,1,1,1,19,1,64,1,3,3,US,64,5,1,1,1,4,2,4,1,1,1,,1,44,1,,1,76,1,,1,1,0,1,,1,1,0,1,,1,1,23,1,,1,1,22,1,,1,1,51,1,,1,1,51,1,,1,1,75,1,,1,1,76,1,,1,1,71,1,,1,1,100,1,,1,33,1,,1,49,1,,1,1,0,1,,1,1,0,1,,1,1,24,1,,1,1,76,1,,1,1,74,1,,1,1,51,1,,1,1,76,1,,1,1,75,1,,1,1,100,1,,1,1,88,1,,1,68,1,,1,37,1,,1,1,0,1,,1,1,0,1,,1,1,19,1,,1,1,24,1,,1,1,70,1,,1,1,50,1,,1,1,75,1,,1,1,74,1,,1,1,100,1,,1,1,100,1,,1,51,1,,1,75,1,,1,1,0,1,,1,1,92,1,,1,1,24,1,,1,1,24,1,,1,1,51,1,,1,1,78,1,,1,1,89,1,,1,1,74,1,,1,1,100,1,,1,1,100,1,A crime is an illegal action or activity for which a person can be punished by law.,3,1,theft_hi_solo_2|assault_hi_group1_2|theft_hi_group3_2|assault_lo_group4_1|theft_hi_group3_1|assault_lo_solo_2|theft_lo_group2_1|theft_hi_group0_2|assault_hi_group2_1|assault_hi_group4_2|theft_hi_group2_2|catch_2|theft_lo_group1_1|assault_hi_group0_1|assault_hi_group3_2|theft_lo_solo_1|catch_1|assault_hi_group0_2|assault_hi_solo_1|theft_lo_group2_2|theft_hi_group4_1|assault_lo_solo_1|assault_hi_group3_1|theft_lo_group3_2|theft_hi_group0_1|assault_lo_group1_1|theft_lo_solo_2|assault_lo_group2_2|theft_lo_group0_1|assault_hi_group2_2|assault_lo_group3_2|theft_hi_group1_2|theft_lo_group0_2|theft_hi_solo_1|assault_lo_group4_2|assault_hi_solo_2|theft_hi_group1_1|assault_lo_group3_1|assault_lo_group1_2|assault_hi_group1_1|assault_lo_group0_1|theft_lo_group4_1|assault_lo_group2_1|theft_hi_group4_2|theft_lo_group3_1|theft_hi_group2_1|assault_lo_group0_2|theft_lo_group1_2|assault_hi_group4_1|theft_lo_group4_2
